Date,Product ID,Price ($),Tax ($),Total Price Paid by Client ($),Quantity Ordered,Country
2023-01-01,P1001,278.92,27.89,306.81,50,Germany
2023-01-01,P1002,430.39,43.04,473.43,89,Canada
2023-01-01,P1003,315.55,31.56,347.11,86,Japan
2023-01-01,P1004,37.79,3.78,41.57,62,UK
2023-01-01,P1005,244.06,24.41,268.47,89,Japan
2023-01-01,P1006,288.34,28.83,317.17,87,Canada
2023-01-01,P1007,44.81,4.48,49.29,59,France
2023-01-01,P1008,19.91,1.99,21.9,55,Japan
2023-01-01,P1009,78.77,7.88,86.65,50,UK
2023-01-01,P1010,242.07,24.21,266.28,99,Germany
2023-01-01,P1011,265.03,26.5,291.53,69,Japan
2023-01-01,P1012,363.11,36.31,399.42,51,Canada
2023-01-01,P1013,273.31,27.33,300.64,82,UK
2023-01-01,P1014,213.18,21.32,234.5,85,Japan
2023-01-01,P1015,389.37,38.94,428.31,78,UK
2023-01-01,P1016,76.26,7.63,83.89,86,Australia
2023-01-01,P1017,83.34,8.33,91.67,90,France
2023-01-01,P1018,199.38,19.94,219.32,54,Canada
2023-01-01,P1019,230.48,23.05,253.53,81,USA
2023-01-01,P1020,452.15,45.22,497.37,89,Canada
2023-01-02,P1001,485.21,48.52,533.73,88,Germany
2023-01-02,P1002,113.09,11.31,124.4,77,USA
2023-01-02,P1003,164.56,16.46,181.02,62,Canada
2023-01-02,P1004,28.83,2.88,31.71,61,France
2023-01-02,P1005,479.89,47.99,527.88,97,France
2023-01-02,P1006,89.04,8.9,97.94,86,France
2023-01-02,P1007,134.11,13.41,147.52,65,France
2023-01-02,P1008,129.77,12.98,142.75,73,Australia
2023-01-02,P1009,340.63,34.06,374.69,98,Canada
2023-01-02,P1010,391.39,39.14,430.53,85,USA
2023-01-02,P1011,334.64,33.46,368.1,80,USA
2023-01-02,P1012,315.19,31.52,346.71,86,UK
2023-01-02,P1013,486.25,48.62,534.87,53,UK
2023-01-02,P1014,259.72,25.97,285.69,98,Australia
2023-01-02,P1015,372.24,37.22,409.46,50,UK
2023-01-02,P1016,148.58,14.86,163.44,73,Germany
2023-01-02,P1017,68.18,6.82,75.0,84,Japan
2023-01-02,P1018,212.99,21.3,234.29,53,UK
2023-01-02,P1019,286.94,28.69,315.63,70,Canada
2023-01-02,P1020,259.39,25.94,285.33,64,Canada
2023-01-03,P1001,461.37,46.14,507.51,86,UK
2023-01-03,P1002,146.08,14.61,160.69,90,Germany
2023-01-03,P1003,422.75,42.28,465.03,66,USA
2023-01-03,P1004,422.28,42.23,464.51,88,Germany
2023-01-03,P1005,204.93,20.49,225.42,90,Australia
2023-01-03,P1006,12.3,1.23,13.53,52,Germany
2023-01-03,P1007,354.83,35.48,390.31,93,Australia
2023-01-03,P1008,222.31,22.23,244.54,58,Germany
2023-01-03,P1009,204.09,20.41,224.5,76,UK
2023-01-03,P1010,323.07,32.31,355.38,53,France
2023-01-03,P1011,343.23,34.32,377.55,82,France
2023-01-03,P1012,489.5,48.95,538.45,61,France
2023-01-03,P1013,385.84,38.58,424.42,95,Germany
2023-01-03,P1014,441.74,44.17,485.91,74,Australia
2023-01-03,P1015,442.05,44.21,486.26,75,USA
